iter	Passed	Remaining
332	38919	77956
333	39023	77813
334	39133	77683
335	39258	77582
336	39375	77465
337	39477	77319
338	39583	77182
339	39705	77074
340	39821	76956
341	39925	76815
342	40031	76677
343	40151	76568
344	40270	76455
345	40378	76322
346	40488	76192
347	40637	76136
348	40756	76023
349	40857	75877
350	40967	75748
351	41084	75633
352	41196	75507
353	41302	75371
354	41408	75234
355	41513	75097
356	41619	74961
357	41728	74831
358	41835	74697
359	41940	74561
360	42046	74424
361	42151	74289
362	42272	74179
363	42398	74080
364	42507	73951
365	42607	73806
366	42712	73669
367	42818	73535
368	42921	73397
369	43028	73264
370	43134	73130
371	43237	72991
372	43342	72857
373	43467	72756
374	43610	72683
375	43713	72545
376	43830	72431
377	43959	72335
378	44100	72259
379	44208	72129
380	44320	72006
381	44444	71901
382	44554	71776
383	44657	71637
384	44773	71521
385	44886	71400
386	44992	71266
387	45092	71125
388	45210	71011
389	45326	70895
390	45429	70757
391	45533	70623
392	45650	70509
393	45772	70401
394	45876	70267
395	45980	70131
396	46105	70028
397	46221	69913
398	46325	69778
